id;codep;type;name;contact;logo;logo_content_type;icon;icon_content_type
1;porte-parole quoique;comme dès;toc-toc;blême plus;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;jusqu’à ce que;résonner;évoquer conseil municipal;ha ha de manière à ce que;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;comme;touchant;maintenir;que personnel professionnel;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;parce que;entre-temps incalculable sage;dès que juriste;triathlète;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;meuh de façon à ce que direction;si préserver innombrable;gens au cas où énorme;secouriste premièrement cocorico;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;dans la mesure où;vu que pendant que terriblement;lors lectorat;snob à partir de;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;drelin volontiers du moment que;avant retenir;à force de parmi commis;en dépit de tout étranger;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;en decà de en outre de sans que;atchoum spécialiste;crac alors que hormis;vide;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;vide;parce que;grrr soudain;en plus de comme quelquefois;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;dring;précisément responsable tant que;zzzz pour durant;poursuivre dans la mesure où super;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
